City,Region,Suburb,Commute to city,3bdr hse,cost per net sqm floor area_kaenga,cost per net sqm floor area_house,Gross Build cost per sqm
Auckland,West,Henderson,20-40,760510,813.1187854,1829.517267,4000
Auckland,West,Hobsonville,20-40,811195,867.309954,1951.447397,4000
Auckland,West,Kelston,20-40,727000,777.2907089,1748.904095,4000
Auckland,West,Massey,20-40,735808,786.7080081,1770.093018,4000
Auckland,West,New Lynn,20-40,748240,800,1800,4000
Auckland,West,Ranui,20-40,645854,690.5313803,1553.695606,4000
Auckland,West,Royal Heights,20-40,806438,862.2238854,1940.003742,4000
Auckland,West,Sunnyvale,40-60,716067,765.6014113,1722.603175,4000
Auckland,West,Swanson,40-60,793364,848.2454827,1908.552336,4000
Auckland,West,Te Atatu Peninsula,20-40,902905,965.3640543,2172.069122,4000
Auckland,West,Te Atatu South,20-40,869571,929.7241527,2091.879344,4000
Auckland,West,Titirangi,40-60,848850,907.5697637,2042.031968,4000
Auckland,West,Waitakere,40-60,823750,880.7334545,1981.650273,4000
Auckland,West,West Harbour,20-40,882235,943.2641933,2122.344435,4000
Wellington,Central,Thorndon,Walking distance,740000,259.6491228,584.2105263,3000
Wellington,Central,Pipitea,Walking distance,650000,228.0701754,513.1578947,3000
Wellington,Central,Oriental Bay,Walking distance,1835000,643.8596491,1448.684211,3000
Wellington,Central,Mount Victoria,Walking distance,910000,319.2982456,718.4210526,3000
Wellington,Central,Te Aro,Walking distance,655000,229.8245614,517.1052632,3000
Wellington,Central,Brooklyn,10-20,700000,245.6140351,552.6315789,3000
Wellington,Central,Aro Valley,Walking distance,642500,225.4385965,507.2368421,3000
Wellington,Central,Highbury,10-20,790000,277.1929825,623.6842105,3000
Wellington,Central,Kelburn,Walking distance,950000,333.3333333,750,3000
Wellington,Northern,Broadmeadows,10-20,540000,200,450,3000
Wellington,Northern,Churton Park,10-20,595000,220.3703704,495.8333333,3000
Wellington,Northern,Glenside,10-20,500000,185.1851852,416.6666667,3000
Wellington,Northern,Grenada,20-40,545000,201.8518519,454.1666667,3000
Wellington,Northern,Grenada North,20-40,380000,140.7407407,316.6666667,3000
Wellington,Northern,Johnsonville,10-20,575000,212.962963,479.1666667,3000
Wellington,Northern,Newlands,10-20,545000,201.8518519,454.1666667,3000
Wellington,Northern,Ohariu,20-40,597500,221.2962963,497.9166667,3000
Wellington,Northern,Paparangi,10-20,545000,201.8518519,454.1666667,3000
Wellington,Northern,Tawa,20-40,525000,194.4444444,437.5,3000
Wellington,Northern,Takapu Valley,20-40,650000,240.7407407,541.6666667,3000
Wellington,Northern,Woodridge,10-20,535000,198.1481481,445.8333333,3000
Wellington,Eastern,Hataitai,10-20,805000,298.1481481,670.8333333,3000
Wellington,Eastern,Lyall Bay,20-40,730000,270.3703704,608.3333333,3000
Wellington,Eastern,Kilbirnie,10-20,680000,251.8518519,566.6666667,3000
Wellington,Eastern,Miramar,20-40,705000,261.1111111,587.5,3000
Wellington,Eastern,Seatoun,20-40,1025000,379.6296296,854.1666667,3000
Wellington,Eastern,Breakers Bay,20-40,875000,324.0740741,729.1666667,3000
Wellington,Eastern,Karaka Bays,20-40,990000,366.6666667,825,3000
Wellington,Eastern,Maupuia,20-40,652500,241.6666667,543.75,3000
Wellington,Eastern,Melrose,20-40,720000,266.6666667,600,3000
Wellington,Eastern,Moa Point,20-40,805000,298.1481481,670.8333333,3000
Wellington,Eastern,Rongotai,20-40,655000,242.5925926,545.8333333,3000
Wellington,Eastern,Roseneath,10-20,855000,316.6666667,712.5,3000
Wellington,Eastern,Strathmore,20-40,655000,242.5925926,545.8333333,3000
Wellington,Southern,Berhampore,20-40,650000,228.0701754,513.1578947,3000
Wellington,Southern,Island Bay,20-40,740000,259.6491228,584.2105263,3000
Wellington,Southern,Newtown,10-20,660000,231.5789474,521.0526316,3000
Wellington,Southern,Vogeltown,10-20,665000,233.3333333,525,3000
Wellington,Southern,Houghton Bay,20-40,682500,239.4736842,538.8157895,3000
Wellington,Southern,Kingston,20-40,645000,226.3157895,509.2105263,3000
Wellington,Southern,Mornington,20-40,665000,233.3333333,525,3000
Wellington,Southern,Mount Cook,Walking distance,660000,231.5789474,521.0526316,3000
Wellington,Southern,Owhiro Bay,20-40,610000,214.0350877,481.5789474,3000
Wellington,Southern,Southgae,20-40,695000,243.8596491,548.6842105,3000
Wellington,Western,Karori,20-40,665000,246.2962963,554.1666667,3000
Wellington,Western,Northland,10-20,715000,264.8148148,595.8333333,3000
Wellington,Western,Crofton Downs,20-40,630000,233.3333333,525,3000
Wellington,Western,Kaiwharawhara,10-20,675000,250,562.5,3000
Wellington,Western,Khandallah,10-20,760000,281.4814815,633.3333333,3000
Wellington,Western,Ngaio,10-20,690000,255.5555556,575,3000
Wellington,Western,Ngauranga,10-20,660000,244.4444444,550,3000
Wellington,Western,Makara,20-40,535000,198.1481481,445.8333333,3000
Wellington,Western,Makara Beach,20-40,472500,175,393.75,3000
Wellington,Western,Wadestown,10-20,800000,296.2962963,666.6666667,3000
Wellington,Western,Wilton,10-20,675000,250,562.5,3000
Wellington,Lower Hutt,Petone,20-40,660000,244.4444444,550,3000
Wellington,Lower Hutt,Melling,20-40,580000,214.8148148,483.3333333,3000
Wellington,Lower Hutt,Maungaraki,20-40,565000,209.2592593,470.8333333,3000
Wellington,Lower Hutt,Normandale,20-40,550000,203.7037037,458.3333333,3000
Wellington,Lower Hutt,Kelson,20-40,485000,179.6296296,404.1666667,3000
Wellington,Lower Hutt,Belmont,20-40,495000,183.3333333,412.5,3000
Wellington,Lower Hutt,Alicetown,20-40,620000,229.6296296,516.6666667,3000
Wellington,Lower Hutt,Moera,20-40,495000,183.3333333,412.5,3000
Wellington,Lower Hutt,Woburn,20-40,715000,264.8148148,595.8333333,3000
Wellington,Lower Hutt,Waiwhetu,20-40,520000,192.5925926,433.3333333,3000
Wellington,Lower Hutt,Waterloo,20-40,585000,216.6666667,487.5,3000
Wellington,Lower Hutt,Taita,20-40,350000,129.6296296,291.6666667,3000
Wellington,Lower Hutt,Avalon,20-40,500000,185.1851852,416.6666667,3000
Wellington,Lower Hutt,Stokes Valley,20-40,370000,137.037037,308.3333333,3000
Wellington,Lower Hutt,Waomiuomata,20-40,300000,111.1111111,250,3000
Wellington,Lower Hutt,Eastbourne,40-60,730000,270.3703704,608.3333333,3000
Wellington,Lower Hutt,Fairfield,20-40,535000,198.1481481,445.8333333,3000
Wellington,Lower Hutt,Epuni,20-40,565000,209.2592593,470.8333333,3000
Wellington,Lower Hutt,Gracefield,20-40,445000,164.8148148,370.8333333,3000
Wellington,Lower Hutt,Point Howard,20-40,695000,257.4074074,579.1666667,3000
Wellington,Lower Hutt,Lowry Bay,20-40,845000,312.962963,704.1666667,3000
Wellington,Lower Hutt,York Bay,20-40,665000,246.2962963,554.1666667,3000
Wellington,Lower Hutt,Mahina Bay,20-40,737500,273.1481481,614.5833333,3000
Wellington,Lower Hutt,Sunshine Bay,40-60,757500,280.5555556,631.25,3000
Wellington,Lower Hutt,Days Bay,40-60,720000,266.6666667,600,3000
Wellington,Porirua,Aotea,20-40,750000,277.7777778,625,3000
Wellington,Porirua,Ascot Park,20-40,375000,138.8888889,312.5,3000
Wellington,Porirua,Camborne,20-40,555000,205.5555556,462.5,3000
Wellington,Porirua,Cannons Creek,20-40,265000,98.14814815,220.8333333,3000
Wellington,Porirua,Elsdon,20-40,340000,125.9259259,283.3333333,3000
Wellington,Porirua,Hongoeka,20-40,540000,200,450,3000
Wellington,Porirua,Kenepuru,20-40,695000,257.4074074,579.1666667,3000
Wellington,Porirua,Papkowhai,20-40,560000,207.4074074,466.6666667,3000
Wellington,Porirua,Paremata,20-40,550000,203.7037037,458.3333333,3000
Wellington,Porirua,Pauatahanui,20-40,557500,206.4814815,464.5833333,3000
Wellington,Porirua,Plimmerton,20-40,662000,245.1851852,551.6666667,3000
Wellington,Porirua,Pukerua Bay,20-40,540000,200,450,3000
Wellington,Porirua,Ranui,20-40,330000,122.2222222,275,3000
Wellington,Porirua,Takapuwahia,20-40,335000,124.0740741,279.1666667,3000
Wellington,Porirua,Titahi Bay,20-40,420000,155.5555556,350,3000
Wellington,Porirua,Waitangirua,20-40,255000,94.44444444,212.5,3000
Wellington,Porirua,Whitby,20-40,530000,196.2962963,441.6666667,3000
Christchurch,Northern,Mairehau,Walking distance,420000,208,468,3000
Christchurch,Northern,Shirley,10-20,390000,193.1428571,434.5714286,3000
Christchurch,Northern,Dallington,10-20,395000,195.6190476,440.1428571,3000
Christchurch,Central,Richmond,Walking distance,385000,190.6666667,429,3000
Christchurch,Eastern,Avonside,10-20,350000,173.3333333,390,3000
Christchurch,Central,Linwood,10-20,350000,173.3333333,390,3000
Christchurch,Central,Phillipstown,Walking distance,320000,158.4761905,356.5714286,3000
Christchurch,Eastern,Woolston,10-20,345000,170.8571429,384.4285714,3000
Christchurch,Southern,Opawa,10-20,490000,242.6666667,546,3000
Christchurch,Central,Waltham,Walking distance,350000,173.3333333,390,3000
Christchurch,Soothern,St Martins,10-20,480000,237.7142857,534.8571429,3000
Christchurch,Southern,Beckenham,10-20,550000,272.3809524,612.8571429,3000
Christchurch,Central,Sydenham,Walking distance,475000,235.2380952,529.2857143,3000
Christchurch,Southern,Somerfield,10-20,475000,235.2380952,529.2857143,3000
Christchurch,Southern,Spreydon,10-20,430000,212.952381,479.1428571,3000
Christchurch,Central,Addington,Walking distance,395000,195.6190476,440.1428571,3000
Christchurch,Central,Riccarton,10-20,510000,252.5714286,568.2857143,3000
Christchurch,Western,Ilam,10-20,620000,307.047619,690.8571429,3000
Christchurch,Western,Upper Riccarton,10-20,485000,240.1904762,540.4285714,3000
Christchurch,Western,Burnside,10-20,510000,252.5714286,568.2857143,3000
Christchurch,Western,Fendalton,10-20,790000,391.2380952,880.2857143,3000
Christchurch,Northern,Bryndwr,10-20,485000,240.1904762,540.4285714,3000
Christchurch,Northern,Strowan,10-20,655000,324.3809524,729.8571429,3000
Christchurch,Northern,Merival,10-20,815000,403.6190476,908.1428571,3000
Christchurch,Northern,Papnui,10-20,485000,240.1904762,540.4285714,3000
Christchurch,Northern,St Albans,10-20,530000,262.4761905,590.5714286,3000
Christchurch,Northern,Edgeware,10-20,420000,208,468,3000
